"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"1","DR_sim",0.002,0.175,0,0.02,0.028,0.1
"2","FPR_sim",0.001,0.169,0,0.018,0.028,0.1
"3","DR_prm",0,0.16,0,0.028,0.011,0.1
"4","DR_sim",0.016,0.204,0,0.025,0.029,0.131034482758621
"5","FPR_sim",0,0.178,0,0.02,0.023,0.131034482758621
"6","DR_prm",0,0.181,0,0.031,0.012,0.131034482758621
"7","DR_sim",0.014,0.186,0,0.033,0.022,0.162068965517241
"8","FPR_sim",0,0.177,0,0.027,0.013,0.162068965517241
"9","DR_prm",0,0.164,0,0.012,0.024,0.162068965517241
"10","DR_sim",0.114,0.182,0,0.036,0.028,0.193103448275862
"11","FPR_sim",0,0.179,0,0.036,0.016,0.193103448275862
"12","DR_prm",0,0.153,0,0.031,0.015,0.193103448275862
"13","DR_sim",0.214,0.216,0,0.047,0.031,0.224137931034483
"14","FPR_sim",0.005,0.177,0,0.042,0.027,0.224137931034483
"15","DR_prm",0,0.19,0,0.01,0.016,0.224137931034483
"16","DR_sim",0.399,0.268,0,0.043,0.049,0.255172413793103
"17","FPR_sim",0.018,0.161,0,0.021,0.036,0.255172413793103
"18","DR_prm",0,0.167,0,0.03,0.013,0.255172413793103
"19","DR_sim",0.605,0.331,0,0.048,0.058,0.286206896551724
"20","FPR_sim",0.018,0.16,0,0.027,0.025,0.286206896551724
"21","DR_prm",0,0.149,0,0.028,0.015,0.286206896551724
"22","DR_sim",0.697,0.391,0,0.066,0.059,0.317241379310345
"23","FPR_sim",0.022,0.171,0,0.024,0.025,0.317241379310345
"24","DR_prm",0,0.162,0,0.017,0.022,0.317241379310345
"25","DR_sim",0.805,0.488,0,0.062,0.064,0.348275862068966
"26","FPR_sim",0.022,0.171,0,0.037,0.036,0.348275862068966
"27","DR_prm",0,0.169,0,0.015,0.018,0.348275862068966
"28","DR_sim",0.878,0.546,0.002,0.099,0.095,0.379310344827586
"29","FPR_sim",0.025,0.174,0,0.048,0.037,0.379310344827586
"30","DR_prm",0,0.17,0,0.026,0.031,0.379310344827586
"31","DR_sim",0.913,0.633,0,0.128,0.129,0.410344827586207
"32","FPR_sim",0.034,0.164,0,0.037,0.057,0.410344827586207
"33","DR_prm",0,0.174,0,0.034,0.011,0.410344827586207
"34","DR_sim",0.953,0.705,0,0.183,0.124,0.441379310344828
"35","FPR_sim",0.031,0.17,0,0.054,0.056,0.441379310344828
"36","DR_prm",0.001,0.197,0,0.018,0.023,0.441379310344828
"37","DR_sim",0.963,0.78,0,0.174,0.189,0.472413793103448
"38","FPR_sim",0.022,0.167,0,0.044,0.054,0.472413793103448
"39","DR_prm",0,0.181,0,0.014,0.024,0.472413793103448
"40","DR_sim",0.98,0.849,0,0.212,0.216,0.503448275862069
"41","FPR_sim",0.032,0.162,0,0.056,0.067,0.503448275862069
"42","DR_prm",0,0.163,0,0.026,0.024,0.503448275862069
"43","DR_sim",0.992,0.872,0,0.258,0.277,0.53448275862069
"44","FPR_sim",0.025,0.14,0,0.054,0.057,0.53448275862069
