"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"1","DR_sim",0.676,0.452,0.244,0.024,0.017,0.1
"2","FPR_sim",0.024,0.156,0.001,0.02,0.01,0.1
"3","DR_prm",0,0.167,0,0.022,0.026,0.1
"4","DR_sim",0.929,0.705,0.745,0.039,0.025,0.131034482758621
"5","FPR_sim",0.029,0.149,0.004,0.033,0.015,0.131034482758621
"6","DR_prm",0,0.173,0,0.016,0.005,0.131034482758621
"7","DR_sim",0.991,0.904,0.962,0.024,0.031,0.162068965517241
"8","FPR_sim",0.028,0.175,0.002,0.034,0.021,0.162068965517241
"9","DR_prm",0,0.161,0,0.018,0.027,0.162068965517241
"10","DR_sim",0.998,0.986,0.996,0.028,0.03,0.193103448275862
"11","FPR_sim",0.018,0.151,0.004,0.014,0.02,0.193103448275862
"12","DR_prm",0,0.174,0,0.024,0.025,0.193103448275862
"13","DR_sim",0.999,0.998,0.999,0.031,0.065,0.224137931034483
"14","FPR_sim",0.016,0.189,0.002,0.022,0.031,0.224137931034483
"15","DR_prm",0,0.172,0,0.011,0.024,0.224137931034483
"16","DR_sim",1,1,1,0.081,0.072,0.255172413793103
"17","FPR_sim",0.024,0.174,0.003,0.035,0.026,0.255172413793103
"18","DR_prm",0,0.183,0,0.008,0.03,0.255172413793103
"19","DR_sim",1,1,1,0.146,0.142,0.286206896551724
"20","FPR_sim",0.029,0.182,0.003,0.05,0.035,0.286206896551724
"21","DR_prm",0,0.166,0,0.032,0.032,0.286206896551724
"22","DR_sim",1,1,1,0.168,0.171,0.317241379310345
"23","FPR_sim",0.018,0.163,0.003,0.059,0.057,0.317241379310345
"24","DR_prm",0,0.166,0,0.02,0.012,0.317241379310345
"25","DR_sim",1,1,1,0.289,0.273,0.348275862068966
"26","FPR_sim",0.035,0.186,0.005,0.079,0.069,0.348275862068966
"27","DR_prm",0,0.173,0,0.02,0.034,0.348275862068966
"28","DR_sim",1,1,1,0.343,0.321,0.379310344827586
"29","FPR_sim",0.025,0.191,0.002,0.055,0.076,0.379310344827586
"30","DR_prm",0.001,0.179,0,0.02,0.018,0.379310344827586
"31","DR_sim",1,1,1,0.466,0.444,0.410344827586207
"32","FPR_sim",0.03,0.153,0.001,0.075,0.078,0.410344827586207
