"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"1","DR_sim",0.975,0.445,0.488,0.005,0.023,0.1
"2","FPR_sim",0.025,0.166,0.007,0.011,0.021,0.1
"3","DR_prm",0,0.16,0,0.03,0.018,0.1
"4","DR_sim",1,0.728,0.927,0.022,0.021,0.131034482758621
"5","FPR_sim",0.02,0.164,0.003,0.028,0.022,0.131034482758621
"6","DR_prm",0,0.165,0,0.01,0.011,0.131034482758621
"7","DR_sim",1,0.91,0.996,0.021,0.032,0.162068965517241
"8","FPR_sim",0.025,0.159,0.001,0.023,0.017,0.162068965517241
"9","DR_prm",0,0.169,0,0.009,0.02,0.162068965517241
"10","DR_sim",1,0.988,1,0.034,0.034,0.193103448275862
"11","FPR_sim",0.027,0.162,0.007,0.025,0.018,0.193103448275862
"12","DR_prm",0,0.17,0,0.025,0.026,0.193103448275862
"13","DR_sim",1,0.999,0.998,0.038,0.04,0.224137931034483
"14","FPR_sim",0.017,0.168,0.004,0.035,0.022,0.224137931034483
"15","DR_prm",0,0.168,0,0.013,0.012,0.224137931034483
"16","DR_sim",1,1,1,0.04,0.04,0.255172413793103
"17","FPR_sim",0.032,0.178,0.003,0.028,0.023,0.255172413793103
"18","DR_prm",0.001,0.162,0,0.02,0.013,0.255172413793103
"19","DR_sim",1,1,1,0.072,0.049,0.286206896551724
"20","FPR_sim",0.024,0.172,0.008,0.039,0.031,0.286206896551724
"21","DR_prm",0,0.166,0,0.025,0.018,0.286206896551724
"22","DR_sim",1,1,1,0.099,0.074,0.317241379310345
"23","FPR_sim",0.029,0.171,0.001,0.025,0.021,0.317241379310345
"24","DR_prm",0,0.177,0,0.015,0.02,0.317241379310345
"25","DR_sim",1,1,1,0.118,0.148,0.348275862068966
"26","FPR_sim",0.021,0.163,0.002,0.049,0.045,0.348275862068966
"27","DR_prm",0,0.171,0,0.03,0.025,0.348275862068966
"28","DR_sim",1,1,1,0.188,0.166,0.379310344827586
"29","FPR_sim",0.028,0.171,0.001,0.049,0.047,0.379310344827586
"30","DR_prm",0,0.161,0,0.012,0.017,0.379310344827586
"31","DR_sim",1,1,1,0.226,0.234,0.410344827586207
"32","FPR_sim",0.021,0.151,0.003,0.055,0.048,0.410344827586207
"33","DR_prm",0,0.172,0,0.033,0.01,0.410344827586207
"34","DR_sim",1,1,1,0.336,0.31,0.441379310344828
"35","FPR_sim",0.016,0.148,0.004,0.069,0.071,0.441379310344828
"36","DR_prm",0,0.175,0,0.011,0.012,0.441379310344828
"37","DR_sim",1,1,1,0.396,0.399,0.472413793103448
"38","FPR_sim",0.022,0.169,0.001,0.067,0.066,0.472413793103448
"39","DR_prm",0,0.154,0,0.013,0.004,0.472413793103448
"40","DR_sim",1,1,0.999,0.504,0.487,0.503448275862069
"41","FPR_sim",0.028,0.183,0.006,0.083,0.068,0.503448275862069
"42","DR_prm",0,0.185,0,0.026,0.021,0.503448275862069
"43","DR_sim",1,1,1,0.569,0.533,0.53448275862069
"44","FPR_sim",0.026,0.179,0.003,0.073,0.093,0.53448275862069
"45","DR_prm",0.001,0.187,0,0.014,0.02,0.53448275862069
"46","DR_sim",1,1,1,0.659,0.633,0.56551724137931
"47","FPR_sim",0.03,0.163,0.003,0.097,0.097,0.56551724137931
